order_id,user_id,restaurant_id,item_id,category,price,order_hour,weekend,timestamp,meal_time,cart_size,cart_value_bucket,user_price_sensitivity,restaurant_rating,user_city_tier,restaurant_city_tier,order_total_value,user_frequency,user_avg_spend,restaurant_popularity,item_popularity
1,888,131,999,Main,369,3,1,2025-01-11 03:12:00,LateNight,1,Medium,medium,4.6,Tier1,Tier1,369,14,536.0869565217391,76,76
2,92,93,896,Main,290,6,0,2025-01-03 06:38:00,Breakfast,2,Medium,low,4.4,Tier3,Tier3,699,9,421.7142857142857,117,57
2,92,93,900,Beverage,409,6,0,2025-01-03 06:38:00,Breakfast,2,Medium,low,4.4,Tier3,Tier3,699,9,421.7142857142857,117,29
3,1351,1,19,Main,111,0,1,2025-01-26 00:48:00,LateNight,1,Low,low,4.6,Tier1,Tier1,111,17,569.1071428571429,88,46
4,157,188,939,Main,335,6,0,2025-01-23 06:58:00,Breakfast,1,Medium,medium,4.6,Tier1,Tier2,335,10,410.42857142857144,148,91
5,601,60,1166,Main,442,7,0,2025-01-21 07:36:00,Breakfast,3,High,medium,3.7,Tier3,Tier2,1027,19,718.5348837209302,64,13
5,601,60,833,Beverage,265,7,0,2025-01-21 07:36:00,Breakfast,3,High,medium,3.7,Tier3,Tier2,1027,19,718.5348837209302,64,15
5,601,60,447,Side,320,7,0,2025-01-21 07:36:00,Breakfast,3,High,medium,3.7,Tier3,Tier2,1027,19,718.5348837209302,64,25
6,994,68,916,Main,184,16,0,2025-01-13 16:49:00,Dinner,1,Low,medium,3.7,Tier2,Tier3,184,17,528.2592592592592,82,82
7,350,56,1145,Main,125,7,0,2025-01-10 07:54:00,Breakfast,2,Medium,low,4.1,Tier2,Tier3,363,15,630.1666666666666,151,17
7,350,56,1188,Beverage,238,7,0,2025-01-10 07:54:00,Breakfast,2,Medium,low,4.1,Tier2,Tier3,363,15,630.1666666666666,151,22
8,1438,101,1074,Main,351,15,0,2025-02-19 15:22:00,Lunch,1,Medium,high,4.1,Tier1,Tier2,351,16,683.1,117,50
9,1025,165,919,Main,483,21,0,2025-01-08 21:55:00,Dinner,2,High,low,4.1,Tier1,Tier2,878,16,517.25,147,6
9,1025,165,630,Side,395,21,0,2025-01-08 21:55:00,Dinner,2,High,low,4.1,Tier1,Tier2,878,16,517.25,147,54
10,296,198,377,Main,341,17,1,2025-02-23 17:57:00,Dinner,2,High,medium,4.0,Tier3,Tier1,706,6,665.1428571428571,108,54
10,296,198,296,Beverage,365,17,1,2025-02-23 17:57:00,Dinner,2,High,medium,4.0,Tier3,Tier1,706,6,665.1428571428571,108,31
11,1420,111,207,Main,454,9,1,2025-02-08 09:42:00,Breakfast,1,Medium,medium,3.6,Tier3,Tier3,454,12,493.94736842105266,78,18
13,659,136,43,Main,453,17,0,2025-01-03 17:05:00,Dinner,2,Medium,medium,4.8,Tier2,Tier2,638,7,763.5,77,27
13,659,136,708,Beverage,185,17,0,2025-01-03 17:05:00,Dinner,2,Medium,medium,4.8,Tier2,Tier2,638,7,763.5,77,21
14,1286,17,1016,Main,162,12,0,2025-01-09 12:40:00,Lunch,1,Low,high,3.9,Tier2,Tier1,162,17,464.1111111111111,74,74
15,1113,91,448,Main,114,21,0,2025-01-20 21:37:00,Dinner,1,Low,medium,4.8,Tier2,Tier1,114,19,619.0294117647059,119,72
16,637,25,695,Main,179,4,0,2025-01-22 04:15:00,LateNight,2,Medium,medium,4.1,Tier1,Tier3,411,17,561.625,128,84
16,637,25,665,Side,232,4,0,2025-01-22 04:15:00,LateNight,2,Medium,medium,4.1,Tier1,Tier3,411,17,561.625,128,61
17,875,34,1046,Main,156,23,1,2025-02-15 23:57:00,LateNight,1,Low,low,3.8,Tier1,Tier1,156,15,544.3703703703703,66,66
18,297,155,185,Main,81,19,0,2025-02-24 19:07:00,Dinner,1,Low,low,4.8,Tier1,Tier1,81,17,617.2857142857143,77,30
19,793,77,282,Main,487,9,0,2025-01-03 09:58:00,Breakfast,3,High,medium,4.2,Tier3,Tier1,1002,8,711.0,134,98
19,793,77,942,Beverage,200,9,0,2025-01-03 09:58:00,Breakfast,3,High,medium,4.2,Tier3,Tier1,1002,8,711.0,134,63
19,793,77,521,Dessert,315,9,0,2025-01-03 09:58:00,Breakfast,3,High,medium,4.2,Tier3,Tier1,1002,8,711.0,134,44
20,1487,109,470,Main,474,2,0,2025-02-21 02:03:00,LateNight,3,High,medium,4.5,Tier1,Tier1,852,16,587.6785714285714,121,54
20,1487,109,840,Beverage,80,2,0,2025-02-21 02:03:00,LateNight,3,High,medium,4.5,Tier1,Tier1,852,16,587.6785714285714,121,61
20,1487,109,79,Side,298,2,0,2025-02-21 02:03:00,LateNight,3,High,medium,4.5,Tier1,Tier1,852,16,587.6785714285714,121,23
21,1234,103,116,Main,345,2,1,2025-01-19 02:22:00,LateNight,1,Medium,high,3.9,Tier1,Tier3,345,16,724.3448275862069,120,68
22,1099,1,11,Main,173,3,1,2025-03-01 03:41:00,LateNight,2,Low,low,4.6,Tier1,Tier1,284,15,471.6521739130435,88,42
22,1099,1,624,Dessert,111,3,1,2025-03-01 03:41:00,LateNight,2,Low,low,4.6,Tier1,Tier1,284,15,471.6521739130435,88,15
24,793,94,660,Main,185,4,1,2025-02-08 04:27:00,LateNight,1,Low,medium,3.8,Tier3,Tier2,185,8,711.0,107,107
26,807,176,536,Main,403,21,0,2025-02-10 21:18:00,Dinner,1,Medium,medium,4.6,Tier1,Tier2,403,10,701.55,120,47
31,46,125,1088,Main,322,11,1,2025-02-08 11:12:00,Lunch,2,High,high,4.0,Tier1,Tier1,801,14,624.48,140,14
31,46,125,1001,Dessert,479,11,1,2025-02-08 11:12:00,Lunch,2,High,high,4.0,Tier1,Tier1,801,14,624.48,140,57
33,1469,129,403,Main,100,7,1,2025-01-26 07:01:00,Breakfast,2,Low,medium,4.7,Tier1,Tier3,226,15,482.3076923076923,146,49
33,1469,129,883,Beverage,126,7,1,2025-01-26 07:01:00,Breakfast,2,Low,medium,4.7,Tier1,Tier3,226,15,482.3076923076923,146,36
34,668,129,156,Main,144,3,0,2025-01-15 03:39:00,LateNight,2,Medium,medium,4.7,Tier1,Tier3,326,18,517.8,146,66
34,668,129,599,Beverage,182,3,0,2025-01-15 03:39:00,LateNight,2,Medium,medium,4.7,Tier1,Tier3,326,18,517.8,146,37
35,363,49,616,Main,106,14,0,2025-01-20 14:21:00,Lunch,1,Low,medium,3.8,Tier1,Tier1,106,17,529.75,67,67
37,902,85,260,Main,229,7,0,2025-01-10 07:16:00,Breakfast,2,Medium,medium,4.2,Tier1,Tier1,686,18,641.5,79,47
37,902,85,508,Dessert,457,7,0,2025-01-10 07:16:00,Breakfast,2,Medium,medium,4.2,Tier1,Tier1,686,18,641.5,79,11
40,375,96,653,Main,499,19,0,2025-01-09 19:16:00,Dinner,1,Medium,medium,3.6,Tier1,Tier1,499,21,610.4736842105264,126,83
41,557,11,579,Main,346,16,1,2025-02-02 16:12:00,Dinner,2,Medium,medium,4.6,Tier3,Tier1,680,15,594.84,72,72
41,557,11,530,Dessert,334,16,1,2025-02-02 16:12:00,Dinner,2,Medium,medium,4.6,Tier3,Tier1,680,15,594.84,72,10
42,1361,51,80,Main,160,7,1,2025-02-01 07:22:00,Breakfast,1,Low,low,3.6,Tier1,Tier1,160,24,600.1627906976744,172,55
43,1203,75,1124,Main,352,22,0,2025-02-24 22:51:00,LateNight,2,Medium,low,4.0,Tier3,Tier2,441,27,594.0,70,37
43,1203,75,265,Beverage,89,22,0,2025-02-24 22:51:00,LateNight,2,Medium,low,4.0,Tier3,Tier2,441,27,594.0,70,36
44,327,78,236,Main,158,1,1,2025-01-25 01:51:00,LateNight,2,Medium,high,4.4,Tier3,Tier1,434,13,518.5263157894736,152,57
44,327,78,507,Beverage,276,1,1,2025-01-25 01:51:00,LateNight,2,Medium,high,4.4,Tier3,Tier1,434,13,518.5263157894736,152,37
45,936,128,697,Main,348,22,1,2025-01-04 22:55:00,LateNight,2,High,medium,3.5,Tier1,Tier1,800,16,504.9310344827586,69,21
45,936,128,713,Beverage,452,22,1,2025-01-04 22:55:00,LateNight,2,High,medium,3.5,Tier1,Tier1,800,16,504.9310344827586,69,17
46,606,186,322,Main,448,19,0,2025-02-11 19:37:00,Dinner,3,High,high,3.6,Tier2,Tier2,833,23,618.8913043478261,97,97
46,606,186,273,Beverage,250,19,0,2025-02-11 19:37:00,Dinner,3,High,high,3.6,Tier2,Tier2,833,23,618.8913043478261,97,46
46,606,186,686,Dessert,135,19,0,2025-02-11 19:37:00,Dinner,3,High,high,3.6,Tier2,Tier2,833,23,618.8913043478261,97,20
47,1418,121,297,Main,457,19,0,2025-02-18 19:24:00,Dinner,1,Medium,medium,3.7,Tier1,Tier1,457,24,574.55,161,18
48,1284,46,1103,Main,174,8,1,2025-01-12 08:41:00,Breakfast,1,Low,high,4.2,Tier3,Tier1,174,14,432.0869565217391,129,129
49,411,163,472,Main,221,10,0,2025-02-04 10:55:00,Breakfast,3,High,high,4.1,Tier1,Tier1,930,12,668.75,113,64
49,411,163,805,Beverage,329,10,0,2025-02-04 10:55:00,Breakfast,3,High,high,4.1,Tier1,Tier1,930,12,668.75,113,33
49,411,163,112,Dessert,380,10,0,2025-02-04 10:55:00,Breakfast,3,High,high,4.1,Tier1,Tier1,930,12,668.75,113,29
50,1312,81,620,Main,216,4,0,2025-01-08 04:08:00,LateNight,1,Low,medium,3.8,Tier1,Tier3,216,17,525.4615384615385,139,31
51,1127,80,205,Main,300,5,0,2025-02-20 05:57:00,LateNight,2,Medium,medium,4.3,Tier1,Tier1,686,15,485.7826086956522,141,34
51,1127,80,493,Dessert,386,5,0,2025-02-20 05:57:00,LateNight,2,Medium,medium,4.3,Tier1,Tier1,686,15,485.7826086956522,141,22
53,1358,136,271,Main,402,5,0,2025-02-27 05:17:00,LateNight,2,Medium,low,4.8,Tier1,Tier2,587,20,522.5588235294117,77,35
53,1358,136,708,Beverage,185,5,0,2025-02-27 05:17:00,LateNight,2,Medium,low,4.8,Tier1,Tier2,587,20,522.5588235294117,77,21
54,135,25,695,Main,179,7,0,2025-02-26 07:10:00,Breakfast,2,Medium,low,4.1,Tier3,Tier3,411,20,484.3666666666667,128,84
54,135,25,665,Side,232,7,0,2025-02-26 07:10:00,Breakfast,2,Medium,low,4.1,Tier3,Tier3,411,20,484.3666666666667,128,61
55,1042,183,263,Main,288,22,1,2025-02-02 22:00:00,LateNight,1,Low,high,4.3,Tier2,Tier3,288,23,581.0975609756098,129,91
56,833,126,452,Main,385,13,1,2025-02-22 13:14:00,Lunch,2,High,medium,4.3,Tier2,Tier1,730,21,597.8108108108108,135,69
56,833,126,75,Beverage,345,13,1,2025-02-22 13:14:00,Lunch,2,High,medium,4.3,Tier2,Tier1,730,21,597.8108108108108,135,34
57,637,83,499,Main,379,12,1,2025-01-18 12:03:00,Lunch,3,High,medium,4.1,Tier1,Tier3,906,17,561.625,89,20
57,637,83,847,Beverage,240,12,1,2025-01-18 12:03:00,Lunch,3,High,medium,4.1,Tier1,Tier3,906,17,561.625,89,14
57,637,83,1112,Side,287,12,1,2025-01-18 12:03:00,Lunch,3,High,medium,4.1,Tier1,Tier3,906,17,561.625,89,16
58,1483,173,1136,Main,261,7,0,2025-01-07 07:56:00,Breakfast,1,Low,high,4.2,Tier3,Tier1,261,15,531.7777777777778,166,116
59,893,131,999,Main,369,4,1,2025-01-05 04:06:00,LateNight,4,High,low,4.6,Tier1,Tier1,1515,14,765.4444444444445,76,76
59,893,131,831,Beverage,432,4,1,2025-01-05 04:06:00,LateNight,4,High,low,4.6,Tier1,Tier1,1515,14,765.4444444444445,76,39
59,893,131,756,Dessert,273,4,1,2025-01-05 04:06:00,LateNight,4,High,low,4.6,Tier1,Tier1,1515,14,765.4444444444445,76,22
59,893,131,886,Side,441,4,1,2025-01-05 04:06:00,LateNight,4,High,low,4.6,Tier1,Tier1,1515,14,765.4444444444445,76,7
60,505,135,1051,Main,355,17,0,2025-01-21 17:51:00,Dinner,3,High,medium,4.4,Tier1,Tier2,876,19,617.5405405405405,77,28
60,505,135,425,Beverage,187,17,0,2025-01-21 17:51:00,Dinner,3,High,medium,4.4,Tier1,Tier2,876,19,617.5405405405405,77,22
60,505,135,201,Dessert,334,17,0,2025-01-21 17:51:00,Dinner,3,High,medium,4.4,Tier1,Tier2,876,19,617.5405405405405,77,10
61,443,136,43,Main,453,8,0,2025-01-27 08:10:00,Breakfast,2,Medium,medium,4.8,Tier2,Tier2,638,16,545.8275862068965,77,27
61,443,136,708,Beverage,185,8,0,2025-01-27 08:10:00,Breakfast,2,Medium,medium,4.8,Tier2,Tier2,638,16,545.8275862068965,77,21
62,720,126,452,Main,385,6,0,2025-01-08 06:18:00,Breakfast,2,Medium,medium,4.3,Tier2,Tier1,572,7,741.0769230769231,135,69
62,720,126,821,Dessert,187,6,0,2025-01-08 06:18:00,Breakfast,2,Medium,medium,4.3,Tier2,Tier1,572,7,741.0769230769231,135,23
65,1330,192,460,Main,386,14,0,2025-02-04 14:23:00,Lunch,3,High,medium,3.9,Tier3,Tier2,886,16,614.1612903225806,47,19
65,1330,192,996,Dessert,87,14,0,2025-02-04 14:23:00,Lunch,3,High,medium,3.9,Tier3,Tier2,886,16,614.1612903225806,47,18
65,1330,192,453,Side,413,14,0,2025-02-04 14:23:00,Lunch,3,High,medium,3.9,Tier3,Tier2,886,16,614.1612903225806,47,20
66,41,179,1062,Main,468,7,1,2025-01-26 07:14:00,Breakfast,1,Medium,low,4.3,Tier2,Tier3,468,24,582.2857142857143,134,23
67,213,50,567,Main,88,6,0,2025-02-11 06:29:00,Breakfast,1,Low,medium,4.7,Tier2,Tier1,88,18,476.10714285714283,128,37
68,170,79,667,Main,169,20,0,2025-02-27 20:40:00,Dinner,2,Medium,medium,4.4,Tier1,Tier1,503,13,455.35,141,57
68,170,79,852,Beverage,334,20,0,2025-02-27 20:40:00,Dinner,2,Medium,medium,4.4,Tier1,Tier1,503,13,455.35,141,72
